,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,visby,57.6409,18.296,30,64,40,20.71,SE,1616138913
358,tezu,27.9167,96.1667,96.3,15,88,4.65,IN,1616138913
359,moyo,3.6609,31.7247,79.7,55,94,4.38,UG,1616138914
360,geraldton,-28.7667,114.6,100.4,10,7,17.27,AU,1616138914
361,aguimes,27.9054,-15.4461,63,72,20,12.66,ES,1616138914
362,namikupa,-10.8333,39.6,80.96,80,99,2.1,TZ,1616138915
363,rocha,-34.4833,-54.3333,51.76,83,0,1.97,UY,1616138915
364,minab,27.1467,57.0801,87.8,35,20,4.61,IR,1616138916
365,necochea,-38.5473,-58.7368,48.99,91,0,7,AR,1616138916
366,belaya gora,68.5333,146.4167,-11.45,88,0,5.44,RU,1616138917
367,ruidoso,33.3317,-105.673,39.99,41,1,3.44,US,1616138917
368,ranong,9.9658,98.6348,95,49,40,5.75,TH,1616138917
369,oriximina,-1.7656,-55.8661,72.32,96,100,3.15,BR,1616138918
370,ziarat,30.3823,67.7282,58.39,30,0,9.1,PK,1616138918
371,el alto,-4.2714,-81.2147,74.41,75,100,9.26,PE,1616138919
372,praia,14.9215,-23.5087,69.8,64,0,9.22,CV,1616138919
373,texarkana,33.4251,-94.0477,50,62,90,6.91,US,1616138921
374,uvalde,29.3669,-99.767,55,37,1,8.05,US,1616138921
375,kupino,54.3663,77.2981,21.56,86,100,13.8,RU,1616138921
376,chaiya,9.3862,99.1986,93.99,49,20,11.5,TH,1616138922
380,omboue,-1.5746,9.2618,78.03,84,89,3.78,GA,1616138923
381,ondarroa,43.3167,-2.4167,48,70,100,10,ES,1616138923
382,distraccion,10.8969,-72.8861,71.74,90,99,2.77,CO,1616138924
383,samarinda,-0.5,117.15,86.09,73,100,3.51,ID,1616138924
384,luban,51.1201,15.2877,33.01,93,100,1.99,PL,1616138924
385,new norfolk,-42.7826,147.0587,73,49,0,1.99,AU,1616138925
386,burnie,-41.0667,145.9167,69.01,60,0,5.99,AU,1616138887
387,ullapool,57.8987,-5.1604,43,1,100,3.4,GB,1616138926
388,caetite,-14.0694,-42.475,63.14,89,99,9.66,BR,1616138926
389,adrar,20.5022,-10.0711,64.36,14,0,1.1,MR,1616138926
390,karratha,-20.7377,116.8463,88.93,44,84,20.4,AU,1616138927
391,farmington,36.7281,-108.2187,42.8,42,1,6.91,US,1616138765
392,tasiilaq,65.6145,-37.6368,30.2,74,20,10.36,GL,1616138927
393,sur,22.5667,59.5289,91.31,29,0,5.59,OM,1616138928
394,chhatarpur,24.9,79.6,89.6,29,40,4.61,IN,1616138928
395,salem,11.65,78.1667,89.6,48,20,4.61,IN,1616138816
396,oga,46.4631,10.347,28.99,85,40,1.14,IT,1616138929
397,plettenberg bay,-34.0527,23.3716,68.4,68,20,7.31,ZA,1616138929
398,nowa deba,50.4297,21.7508,34,85,84,1.01,PL,1616138930
399,tutoia,-2.7619,-42.2744,76.51,89,99,6.26,BR,1616138930
400,peterongan,-7.5394,112.2792,91.4,55,20,13.8,ID,1616138930
401,candido mendes,-1.4467,-45.7167,72.25,97,84,1.95,BR,1616138931
402,san carlos de bariloche,-41.1456,-71.3082,39.2,87,0,3.44,AR,1616138836
403,sao felix do xingu,-6.6447,-51.995,70.21,99,96,2.24,BR,1616138932
404,sao filipe,14.8961,-24.4956,70.59,74,0,6.31,CV,1616138932
